measurement,usl,lsl
10.044377366380354,10.2,9.8
9.93680127150076,10.2,9.8
10.080036095664516,10.2,9.8
10.095245177311297,10.2,9.8
9.863917184907693,10.2,9.8
9.915825639451015,10.2,9.8
10.030227232253383,10.2,9.8
9.994700592612514,10.2,9.8
10.018655907399657,10.2,9.8
9.951756485794114,10.2,9.8
10.090351837989026,10.2,9.8
10.082223354834316,10.2,9.8
10.025282455804897,10.2,9.8
10.110179296557442,10.2,9.8
10.057400747380163,10.2,9.8
9.951256602969341,10.2,9.8
10.0495000627266,10.2,9.8
9.94328939193368,10.2,9.8
10.09027602410458,10.2,9.8
10.0160059271211,10.2,9.8
10.005211010916378,10.2,9.8
9.965525636447683,10.2,9.8
10.117803307093922,10.2,9.8
10.007637641434496,10.2,9.8
9.98573377422695,10.2,9.8
9.991829315960942,10.2,9.8
10.062584734844268,10.2,9.8
10.049235525149125,10.2,9.8
10.053018608927678,10.2,9.8
10.05446568024063,10.2,9.8
10.191331808069636,10.2,9.8
9.98748679868923,10.2,9.8
9.979020581674277,10.2,9.8
9.95489818174017,10.2,9.8
10.06927835380604,10.2,9.8
10.11031778341767,10.2,9.8
10.01088420338761,10.2,9.8
9.952787481842996,10.2,9.8
9.954041502744701,10.2,9.8
10.072047423025976,10.2,9.8
10.079460333696275,10.2,9.8
10.063452341464416,10.2,9.8
9.966759223416904,10.2,9.8
10.038572905845337,10.2,9.8
10.029334864731258,10.2,9.8
10.037495087738321,10.2,9.8
10.089714302235855,10.2,9.8
10.037887643901975,10.2,9.8
10.074313085045752,10.2,9.8
10.02540632555911,10.2,9.8
10.043129551895198,10.2,9.8
10.070503058067082,10.2,9.8
9.903427534411547,10.2,9.8
9.994426302691416,10.2,9.8
9.982370187656576,10.2,9.8
9.968889772140532,10.2,9.8
9.997988619901864,10.2,9.8
10.139595304898751,10.2,9.8
9.95073351074454,10.2,9.8
10.097462268367318,10.2,9.8
9.885370418270735,10.2,9.8
9.993209197601137,10.2,9.8
10.0330202452084,10.2,9.8
10.066897786508742,10.2,9.8
10.076898126383428,10.2,9.8
10.083467778815994,10.2,9.8
9.992101994220125,10.2,9.8
9.983011856586835,10.2,9.8
10.088638070500572,10.2,9.8
10.00469565400947,10.2,9.8
9.917945094132966,10.2,9.8
9.929337022879722,10.2,9.8
9.94644381711987,10.2,9.8
10.059772859524301,10.2,9.8
10.031394058885645,10.2,9.8
10.075238828325421,10.2,9.8
9.985819788293076,10.2,9.8
10.032683175286136,10.2,9.8
10.070047231517387,10.2,9.8
9.99525227682238,10.2,9.8
10.056542019004592,10.2,9.8
9.967045924714668,10.2,9.8
9.990955692274794,10.2,9.8
9.989460968480133,10.2,9.8
9.924332828352876,10.2,9.8
10.058957798462846,10.2,9.8
9.982447812783782,10.2,9.8
10.020999529498214,10.2,9.8
10.058459732712473,10.2,9.8
10.055722494082396,10.2,9.8
10.073230808717822,10.2,9.8
10.012121161239246,10.2,9.8
9.986136135036467,10.2,9.8
10.013622543127488,10.2,9.8
9.885013245283357,10.2,9.8
9.904231002206153,10.2,9.8
9.914184031011647,10.2,9.8
9.940220253791882,10.2,9.8
10.051981938137875,10.2,9.8
9.947561675571194,10.2,9.8
9.989746995676848,10.2,9.8
10.123938263822884,10.2,9.8
9.991498882315085,10.2,9.8
10.079001245477366,10.2,9.8
9.94531058559921,10.2,9.8
10.003564995370589,10.2,9.8
9.943998235607154,10.2,9.8
9.992877353927955,10.2,9.8
10.08722465099659,10.2,9.8
9.881814366144612,10.2,9.8
10.054753891483669,10.2,9.8
10.039018848186581,10.2,9.8
9.972468003544256,10.2,9.8
9.904315371648924,10.2,9.8
10.02577036061711,10.2,9.8
9.977640583274896,10.2,9.8
10.038614096908375,10.2,9.8
10.021748171641875,10.2,9.8
10.148142311305673,10.2,9.8
10.000851549802158,10.2,9.8
9.93812020059025,10.2,9.8
10.034342050796505,10.2,9.8
10.037599734717741,10.2,9.8
10.128735006019234,10.2,9.8
10.086808899673166,10.2,9.8
10.04854968473196,10.2,9.8
10.137064231297565,10.2,9.8
9.924898955654172,10.2,9.8
9.96881987738002,10.2,9.8
9.945873924687557,10.2,9.8
9.988815215747538,10.2,9.8
9.909865108195495,10.2,9.8
10.070812075745152,10.2,9.8
10.002222184232098,10.2,9.8
9.902335496439786,10.2,9.8
9.938753673503395,10.2,9.8
10.045081107796015,10.2,9.8
10.08705012543155,10.2,9.8
10.179738471335343,10.2,9.8
10.253108997280586,10.2,9.8
10.05315275466208,10.2,9.8
9.94083695039745,10.2,9.8
9.849436297541494,10.2,9.8
10.041416916987506,10.2,9.8
9.954964712375174,10.2,9.8
